,datetime,month,windspeed,winddir
4342,2021-11-21,11,26.8,278.9
4343,2021-11-22,11,16.1,289.4
4344,2021-11-23,11,17.8,198.8
4345,2021-11-24,11,20.1,200.1
4346,2021-11-25,11,19.1,315.3
4347,2021-11-26,11,19.9,281.4
4348,2021-11-27,11,14.8,222.8
4349,2021-11-28,11,19.6,299.4
4350,2021-11-29,11,16.5,200.1
4351,2021-11-30,11,13.7,296.3
4352,2021-12-01,12,13.6,194.2
4353,2021-12-02,12,17.3,273.1
4354,2021-12-03,12,11.1,62.7
4355,2021-12-04,12,13.4,320.3
4356,2021-12-05,12,21.0,142.0
4357,2021-12-06,12,25.4,281.0
4358,2021-12-07,12,13.0,219.1
4359,2021-12-08,12,12.7,242.6
4360,2021-12-09,12,15.0,166.2
4361,2021-12-10,12,20.6,93.3
4362,2021-12-11,12,33.9,257.6
4363,2021-12-12,12,19.1,213.1
4364,2021-12-13,12,13.7,225.3
4365,2021-12-14,12,15.9,152.2
4366,2021-12-15,12,35.9,194.0
4367,2021-12-16,12,29.2,243.0
4368,2021-12-17,12,13.6,38.1
4369,2021-12-18,12,14.6,4.8
4370,2021-12-19,12,12.0,232.2
4371,2021-12-20,12,16.5,226.4
4372,2021-12-21,12,19.9,266.0
4373,2021-12-22,12,14.5,280.1
4374,2021-12-23,12,14.2,191.7
4375,2021-12-24,12,14.6,183.6
4376,2021-12-25,12,15.2,10.8
4377,2021-12-26,12,19.8,80.6
4378,2021-12-27,12,20.6,269.1
4379,2021-12-28,12,14.3,89.5
4380,2021-12-29,12,13.1,332.3
4381,2021-12-30,12,9.8,103.1
4382,2021-12-31,12,13.0,33.5
